"upm","est_sel","ponde_2anios","estrato_rec","hwise_preocupa","hwise_disminucion","hwise_lavar_suficiente","hwise_cambio_planes","hwise_manos","hwise_banarse","hwise_beber","hwise_molesto","hwise_sed","hwise_apta","hwise_verguenza","hwise_alimentos","frec_agua_clean","escasez_clean","horas_z","temp_sin_agua_bin","almacena_tambo_no_tapa","almacena_cubeta_no_tapa","almacena_cubeta_con_tapa","almacena_tambo_con_tapa","gasto_z","ingreso_z","integrantes_z","agua_bin","indigena_d","mujer_jefa","HWISE_fs","CONT_fs","COPING_fs","Regimen"
300300011998,3000,99302516332637,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,4,0.905971760610157,1,0,0,0,0,-0.162309859958963,0.85795506800306,-1.44462324788302,1,0,1,-1.27542376412335,1.15657847206811,-0.248220113936038,"3"
300300011998,3000,99302516332637,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,5,0.905971760610157,1,0,0,0,0,-0.233233028372596,1.75435512150103,-1.44462324788302,1,0,1,-1.27876802635173,1.20578888008485,-0.261497647464608,"3"
400300011155,4000,64937607484068.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,0.905971760610157,0,0,0,0,0,-0.162309859958963,-0.934845038992872,-0.816567560204259,1,0,1,-1.28786157015692,1.34609191184608,-0.225905860260725,"3"
400300011155,4000,64937607484068.5,"Metropolitano",2,2,2,2,2,2,1,1,1,1,1,2,5,5,-0.399904285949248,0,0,0,0,0,-0.261602295738049,0.85795506800306,1.6956551905108,1,0,0,-0.454251360755139,1.19265924314257,-0.190333786475426,"3"
400300011155,4000,64937607484068.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.905971760610157,1,0,0,0,0,-0.375079365199862,-0.0384449854949059,1.6956551905108,1,0,1,-1.30742344440294,1.70183904384951,-0.222066346490966,"3"
400300011155,4000,64937607484068.5,"Metropolitano",3,3,3,3,3,3,3,3,1,1,3,3,5,1,-1.48813432474875,0,0,0,1,0,-0.190679127324416,-0.0384449854949059,-0.816567560204259,1,0,1,0.929080385462212,0.390975297042643,-0.0489413625237115,"4"
400300011155,4000,64937607484068.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,-0.944019305349,0,0,0,0,0,-0.183586810483053,1.75435512150103,-0.188511872525493,1,0,1,-1.26623866748527,1.07272697859602,-0.241393280559657,"3"
400300011155,4000,64937607484068.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.197771444165779,0.85795506800306,-0.188511872525493,1,0,0,-1.30428479851569,1.55303284306287,-0.249515373380591,"3"
400300011155,4000,100659249178974,"Metropolitano",3,3,3,3,3,3,3,3,3,3,1,3,5,5,-1.48813432474875,1,0,0,0,0,-0.233233028372596,-0.934845038992872,-0.188511872525493,1,0,0,0.906492019111506,0.80361382299249,-0.137362808237831,"4"
400300011155,4000,100659249178974,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,0.905971760610157,1,0,1,0,0,-0.375079365199862,-0.0384449854949059,-0.816567560204259,1,0,0,-1.27894104959407,1.51706003563598,-0.133124641473149,"3"
400300011155,4000,100659249178974,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,0.905971760610157,1,0,0,0,0,-0.221885321426415,0.85795506800306,1.6956551905108,1,0,0,-1.3014336361045,1.57528036600248,-0.228304121960191,"3"
400300011155,4000,100659249178974,"Metropolitano",3,3,3,3,3,3,3,3,1,1,1,3,5,4,-0.399904285949248,1,0,0,0,1,-0.190679127324416,-0.934845038992872,1.06759950283204,1,0,0,0.749335666039249,0.883233852797182,-0.0433785661032312,"4"
400300011155,4000,80057816721412,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,4,3,-1.05284230922895,1,0,0,0,0,-0.219048394689869,0.85795506800306,-0.188511872525493,1,0,1,-1.24814584147544,0.841948271025857,-0.220791260865262,"3"
400300011155,4000,80057816721412,"Metropolitano",1,1,1,1,1,1,2,1,1,1,1,1,3,3,-0.399904285949248,1,0,0,0,0,-0.09138669154533,0.85795506800306,0.439543815153273,1,0,0,-1.16552195092639,0.476887415208172,-0.197186257978069,"3"
400300011155,4000,80057816721412,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,2,-0.399904285949248,1,0,0,0,0,-0.375079365199862,0.85795506800306,1.6956551905108,1,0,0,-1.28199336089058,1.3375051401886,-0.218712013175412,"3"
400300011155,4000,80057816721412,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,3,-1.5969573286287,0,0,0,0,0,-0.304156196786229,0.85795506800306,0.439543815153273,1,0,0,-1.26785480040817,1.10479811916571,-0.224066739343179,"3"
400300011155,4000,80057816721412,"Metropolitano",1,1,1,1,3,3,4,3,4,3,3,3,3,1,-1.48813432474875,0,0,0,0,0,-0.275786929420776,0.85795506800306,1.06759950283204,1,0,0,0.169919548012252,-0.20968722326753,-0.126840701454225,"4"
400300011155,4000,67394706145628,"Metropolitano",3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1.48813432474875,1,0,1,1,1,-0.375079365199862,-0.934845038992872,0.439543815153273,1,0,1,1.21788401362548,-0.57539012200877,0.218965426900337,"1"
400300011155,4000,67394706145628,"Metropolitano",3,3,3,3,3,3,3,3,1,1,1,3,3,1,-1.48813432474875,0,1,1,0,0,-0.221885321426415,-0.934845038992872,-0.816567560204259,1,0,1,0.870588601806549,-0.519144149769454,0.0755303548874565,"1"
400300011155,4000,67394706145628,"Metropolitano",3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1.48813432474875,0,0,0,0,0,-0.233233028372596,-0.934845038992872,-0.816567560204259,1,0,0,1.14510783544825,-0.45936482455995,-0.0898217136280087,"1"
400300011155,4000,67394706145628,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,4,-1.5969573286287,1,0,0,0,0,-0.0204635231316971,-0.934845038992872,-0.188511872525493,1,0,1,-1.28268097591897,1.27983377900627,-0.215866608565146,"3"
400300011155,4000,67394706145628,"Metropolitano",3,3,3,3,3,3,3,3,3,3,3,3,3,1,-1.27048831698885,0,1,0,1,1,-0.233233028372596,-0.934845038992872,-1.44462324788302,1,0,1,1.20652025185449,-0.632408603011433,0.148713422174385,"1"
400300011155,4000,67394706145628,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,5,1,-1.48813432474875,0,0,1,0,0,-0.221885321426415,-0.0384449854949059,0.439543815153273,1,0,1,-1.23061902636206,0.92602128213922,-0.0945061697390286,"3"
400300011155,4000,63510024692193.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,3,1,0.905971760610157,0,1,0,0,0,-0.221885321426415,-0.934845038992872,-0.816567560204259,1,0,1,-1.20407426040544,0.408873477090012,-0.127535216978799,"2"
400300011155,4000,63510024692193.5,"Metropolitano",1,1,1,1,1,1,1,1,1,1,1,1,3,5,0.253033737330455,1,1,1,1,0,-0.221885321426415,-0.934845038992872,-0.816567560204259,1,0,0,-1.17064582724311,0.474822137091457,0.0719099676658589,"2"
